STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
PUNJAB,PATIALA,Patiala;Patiala;Patiala;Patiala;Chief Agriculture Office,30.333333329676766,76.3833333296125,MANUAL,,,,,,,,,,,,,2018
PUNJAB,TARN TARAN,TARN TARAN ;PATTI;VALTOHA;MEHENDIPUR;Panchyat Land /Dispensary,31.11527777753227,74.58055555556855,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,MANSA,Makha-[PZ,29.93361111021425,75.24833332989563,Manual,,,,,7.65,,,,,7.22,,,2018
PUNJAB,BATHINDA,Maihma Bhagwan-PZ,30.29083332999775,74.8136111102103,Manual,,,,,11.34,,,,,12.01,,11.62,2018
PUNJAB,KAPURTHALA,O/O BDPO,31.22277777804315,75.7700000002864,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,Landran-Pz,30.693888890301977,76.6611111102913,Manual,,,,16.59,16.59,,,15.49,,14.35,,,2018
PUNJAB,SANGRUR,Manvi-Pz,30.54750000041017,76.01694444026813,Manual,23.58,,,25.26,25.26,,,26.01,,24.34,,27.52,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,SAS NAGAR;SAS NAGAR;KHARAR ;KURRHA;Govt. Elem. School,30.59944444489105,76.72999999999531,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,BARNALA,Bhadaur-Pz,30.475000000173054,75.32166666978749,Manual,,,,28.99,28.99,,,30.78,,31,,30.45,2018
PUNJAB,BARNALA,Tajoke 1 (s),30.249999999793303,75.38333333042436,Manual,,,,,,,,,,,,,2018
PUNJAB,TARN TARAN,Dhottian1,31.374999999767393,74.99999999959674,Manual,,,,,,,,,,,,,2018
PUNJAB,MANSA,Aklia-Pz,30.182499999745218,75.41416666990878,Manual,,,,,21.97,,,,,24.56,,,2018
PUNJAB,BATHINDA,BATHINDA;Rampura Phul ;RAMPURA;MANDI KALAN;Vet. Dispensary,30.21361111139637,75.25277777764036,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,FIROZPUR,Fazilka-Pz,30.38749999994948,74.02083333031862,Manual,,,,,,,,,,,,,2018
PUNJAB,JALANDHAR,Adampur 3(s),31.422222220310992,75.70833332959464,Manual,,,,8.71,8.71,,,,,7.23,,7.32,2018
PUNJAB,PATIALA,Sirsini,30.454166670329098,76.77083332971982,Manual,,,,2.32,2.32,,,0.7,,0.86,,1.02,2018
PUNJAB,AMRITSAR,Amritsar,31.633333329717598,74.87499999989974,Manual,,,,,,,,,,,,20.9,2018
PUNJAB,SANGRUR,SANGRUR;DHURI;SHERPUR;KILA HAKIMA;Vet. Dispensary,30.315277778028296,75.72305555589321,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,KAPURTHALA,KAPURTHALA;KAPURTHALA;KAPURTHALA;BHAWANIPUR;Janj Ghar,31.38861111087362,75.32722222199234,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,HOSHIARPUR;GARHSHANKAR;CHAK PHULLON;OPEN GROUND,31.178888888995782,76.19249999956632,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,JALANDHAR,Parta Pur,31.236111110041666,75.520833330203,Manual,,,,,,,,,,,,,2018
PUNJAB,GURDASPUR,Dostpur-Pz,32.07083333030935,75.21111110998831,Manual,,,,,5.5,,,,,4.6,,4.6,2018
PUNJAB,SANGRUR,Minsa-Pz,30.426388890266587,75.9611111095094,Manual,,,,,35.55,,,,,,,,2018
PUNJAB,SANGRUR,Malerkotla(shallow),30.516666670308762,75.88750000049102,Manual,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,Bhatolian-Pz,31.644444440036164,75.81833332953164,Manual,,,,,,,,,,27.6,,27.6,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,SAS NAGAR;DERA BASSI ;DERA BASSI ;BARAULI;,30.44611111081033,76.86194444415713,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,MUKTSAR,Panniwala Fatta,30.3136111101368,74.32555555975273,Manual,,,,,,,,,,,,,2018
PUNJAB,AMRITSAR,Shabura-Pz,31.641666669816765,74.6041666697267,Manual,,,,,14.4,,,,,13.6,,13.3,2018
PUNJAB,FIROZPUR,Karman,30.858333330040047,74.4852777795826,Manual,,,,,,,,,,,,,2018
PUNJAB,TARN TARAN,TARN TARAN ;TARN TARAN;BHURRE;Panchyat Land near Gurdwara,31.381111111242703,74.77972222171543,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,RUPNAGAR,Salempur,30.872222219785815,76.46250000032175,Manual,,,,,22.6,,,,,22.8,,,2018
PUNJAB,BATHINDA,Multania-Pz,30.22888889039942,74.78805556034594,Manual,,,,,6.7,,,,,7.58,,7.39,2018
PUNJAB,SANGRUR,SANGRUR;LEHRAGAGA;LEHRAGAGA;BALERON;Vet. Dispensary,29.844444444703715,75.8508333328445,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,TARN TARAN,Chobal Kalan-Pz,31.483333330211636,74.79166666947522,Manual,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,Nagal Bihala,31.908333329655363,75.70833333038505,Manual,,,,12.51,12.51,,,12.54,,11.58,,11.09,2018
PUNJAB,LUDHIANA,Lelon-Pz,30.85277777980172,76.12083332970775,Manual,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,HOSHIARPUR;MUKERIAN;HAJIPUR;HAJIPUR;BDO OFFICE,31.976388888551377,75.75083333322134,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,KAPURTHALA,Chaheru,31.265833330445833,75.70694444049252,Manual,,,,,,,,,,,,,2018
PUNJAB,SANGRUR,Dndolikhurd,30.108333330305804,75.98333332984767,Manual,,,,,,,,,,,,,2018
PUNJAB,BARNALA,Aspal Kalan,30.204166669897653,75.53333332949869,Manual,,,,,,,,,,,,,2018
PUNJAB,MANSA,MANSA;MANSA;MANSA;BURJ RATHI;Vet. Hospital,30.080000000158154,75.33611111111406,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,MOGA,Tota Singh Wala-Pz,30.863333329848327,75.17916666986159,Manual,,,,,10.5,,,,,11.2,,10.65,2018
PUNJAB,PATIALA,PATIALA;;PATTRAN;DUGGAL KALAN;Co-op Agriculture Service Society,29.988611110702305,76.03249999999944,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,Rurki Pakki,30.765277779890685,76.60277778002886,Manual,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,Nasrala,31.49027778011894,75.82500000052435,Manual,,,,,,,,,,,,,2018
PUNJAB,FATEHGARH SAHIB,Sangatpura-Pz,30.80416667017784,76.25833332966312,Manual,,,,,19.85,,,,,19,,18.4,2018
PUNJAB,SHAHID BHAGAT SINGH NAGAR,Rahon,31.058333329940407,76.1249999995037,Manual,,,,,,,,9.97,,13,,10.47,2018
